reason,uuid,survivor_uuid,kind,net_code,net,layer_or_span,width_or_size_mm,start_or_position_mm,end_mm,drill_mm,locked
exact_duplicate,a42ad3e8-d286-4789-ba1f-12c4b5ac18bc,398859e0-3fa0-41f1-bc67-3985bdaf3e5a,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[67.9, 15.9]","[68.0, 15.8]",,False
exact_duplicate,a4ca4780-b437-4b50-a9e1-762cf90ed483,4be00ecc-da72-4390-a032-d93c0700b02c,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[68.5, 15.7]","[68.6, 15.6]",,False
exact_duplicate,a6fdec56-688f-453e-aed4-ed31d07bb8a2,a4f6a522-ae5a-4366-94ca-7ae66f283e9d,segment,116,MIL,In4.Cu,1.2,"[22.8, 30.1]","[22.9, 30.0]",,False
exact_duplicate,a79bde9c-9e92-4107-a60a-dc82e063fd85,16e51aad-9096-47e0-a40f-47a7eddc2db4,segment,172,TRANS_SS1,In4.Cu,1.2,"[48.4, 129.9]","[48.4, 130.1]",,False
exact_duplicate,a8ca1ca6-74c5-48e7-908a-cc18833cb8cd,032b8661-cc3f-4d3c-b388-fae7c720a0e8,segment,87,INJECTOR_1,In1.Cu,2.0,"[31.8, 126.2]","[31.8, 126.3]",,False
exact_duplicate,ac46d3f4-683d-4021-9174-1620833f35ee,2e7ca1b2-fbdc-4a1a-bcd0-ee0e0f996f24,segment,87,INJECTOR_1,In1.Cu,2.0,"[34.4, 129.1]","[34.5, 129.0]",,False
exact_duplicate,aeef178a-2eea-41b4-a703-e860fab19c12,30e0f703-690c-42f3-8568-01290b356adf,segment,176,VCC_5,B.Cu,0.6,"[76.8, 106.8]","[76.8, 106.9]",,False
exact_duplicate,b1bdfbe3-a682-42c9-a1a3-5d1dabfced06,2ef99b36-8420-4c83-9776-ff82c8372da0,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[65.8, 15.6]","[65.9, 15.6]",,False
exact_duplicate,b1bfc20f-83bd-4f8d-b3bf-12c312a0d61c,9c20412c-b9f1-456a-b468-1240f08138d9,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[65.5, 15.4]","[65.6, 15.5]",,False
exact_duplicate,b2858374-3be7-41a3-b07c-239f80395ee9,65aedfc9-a792-44d5-bbdb-f76d71b1e9dc,segment,83,IAC,F.Cu,1.2,"[37.3, 38.7]","[37.4, 38.6]",,False
exact_duplicate,b2edc435-68f2-49f0-8c01-15095d1a7318,96b4ba5d-af32-49e7-8073-0574ff91d772,segment,177,VDDA_5,F.Cu,0.6,"[95.6, 43.8]","[95.6, 43.7]",,False
exact_duplicate,b321091b-fb46-4ec2-9504-31555887d73d,775b0ff2-091e-4c08-9e22-f5778227efad,segment,170,TRANS_EPC,B.Cu,1.2,"[78.0, 40.2]","[79.0, 40.2]",,False
exact_duplicate,b5fa8507-1a12-4fc5-9367-19d9b5dd2184,268c6bb5-2c8b-409f-9aa3-afc4b559f0b7,segment,116,MIL,In4.Cu,1.2,"[22.9, 31.0]","[22.9, 30.8]",,False
exact_duplicate,b70acfab-5ada-4d7e-afa8-772f6ffee15a,abeef2a8-1e43-424c-a7b3-6fba6460b562,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[62.7, 15.3]","[65.3, 15.3]",,False
exact_duplicate,b771d613-7b0a-4555-be4d-9185c22540b8,6bbdfce7-2b2f-4d5a-ab03-7496bf2b6df8,segment,87,INJECTOR_1,In1.Cu,2.0,"[36.9, 114.7]","[36.9, 114.6]",,False
exact_duplicate,b7ffc68c-8cbb-424d-9f3e-7428de23c26f,0a348833-7c41-4278-b968-ba8b879ca1f7,segment,170,TRANS_EPC,B.Cu,1.2,"[76.9, 40.9]","[76.8, 41.0]",,False
exact_duplicate,b89bc531-f629-4ba3-87c3-3c32521da606,5e437631-edee-4ed6-83b6-9637b2331894,segment,88,INJECTOR_2,In4.Cu,2.0,"[108.4, 27.4]","[108.3, 27.5]",,False
exact_duplicate,b8c67415-85cc-431e-8648-66f8db355fca,88681735-a27e-4789-8904-e1d14b8406bf,segment,177,VDDA_5,F.Cu,0.6,"[95.7, 43.9]","[95.6, 43.8]",,False
exact_duplicate,b94b1365-9226-45ce-b1cd-75b5962ec907,7a38af44-dfd7-4d05-972a-c16d049a6307,segment,170,TRANS_EPC,B.Cu,1.2,"[79.1, 40.1]","[79.0, 40.2]",,False
exact_duplicate,b9743202-8e6b-4101-818b-c1e63c67c125,04f6da53-5d10-4cc7-9f86-dc6b77d81ef7,segment,87,INJECTOR_1,In1.Cu,2.0,"[34.2, 129.2]","[33.4, 129.2]",,False
exact_duplicate,ba1ccda5-081b-4fcd-ba12-6686a20c0770,4f4088c6-cae0-4cca-9280-9cfcb1eefaef,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[68.8, 15.5]","[68.9, 15.5]",,False
exact_duplicate,bb7ad4e9-186d-4a37-bc06-0e3b50b5e152,225ab8bb-8b64-4d7b-a08f-2b6575ea7499,segment,87,INJECTOR_1,In1.Cu,2.0,"[32.0, 120.1]","[31.9, 120.2]",,False
exact_duplicate,bc3ab43c-4c38-4765-8227-9148c4dc1d46,241b2d4e-e7d3-4db4-a6ba-61795a2f81b2,segment,116,MIL,In2.Cu,1.2,"[23.8, 148.4]","[24.0, 148.4]",,False
exact_duplicate,bcd01cab-0e92-4645-ac63-618544f64ea6,786ecf1c-f25d-4331-b467-0539689d92e2,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[65.6, 15.5]","[65.7, 15.5]",,False
exact_duplicate,bd1e332d-2df0-48fe-b25b-0ee77fa6cb6b,85a4d9a4-3fbc-4b8d-a8ce-62e6bb6bc716,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[70.0, 14.5]","[70.0, 14.4]",,False
exact_duplicate,bdc59288-7aeb-4e59-8a72-5f878070a487,1358c642-0f32-4a50-98a9-5573058ad7c8,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[68.9, 15.5]","[69.0, 15.4]",,False
exact_duplicate,bff41160-7f0c-4594-bb68-446a10cdba56,264b6bf9-648d-4bed-ae22-8c6b2816204c,segment,170,TRANS_EPC,B.Cu,0.6,"[89.17, 33.948]","[89.2, 33.9]",,False
