finding,x1_mm,y1_mm,item1,x2_mm,y2_mm,item2
17,110.8000,18.5000,"Track [INJECTOR_4] on F.Cu, length 0.1000 mm",19.5000,49.5000,"Track [INJECTOR_4] on In1.Cu, length 2.5456 mm"
18,99.5000,14.4000,"Track [INJECTOR_5] on In1.Cu, length 0.1414 mm",75.3000,36.5000,Via [INJECTOR_5] on F.Cu - B.Cu
19,89.8000,16.1000,"Track [INJECTOR_6] on B.Cu, length 4.2426 mm",25.4000,55.1000,"Track [INJECTOR_6] on B.Cu, length 0.8485 mm"
20,70.2000,14.5000,"Track [INJECTOR_7] on F.Cu, length 0.8485 mm",42.2000,68.0000,"Track [INJECTOR_7] on In2.Cu, length 2.8284 mm"
21,32.7000,60.4000,"Track [INJECTOR_8] on F.Cu, length 1.7000 mm",89.0000,13.5000,"Track [INJECTOR_8] on B.Cu, length 0.8485 mm"
22,105.1000,39.9000,"Track [LAUNCH_LOGIC] on F.Cu, length 0.7827 mm",4.5000,48.3600,PTH pad 19 [LAUNCH_LOGIC] of J101
23,56.5000,78.5000,Via [PGND] on F.Cu - B.Cu,56.5000,77.5000,Via [PGND] on F.Cu - B.Cu
24,1.0000,1.0000,Zone [PGND] on F.Cu,1.0000,1.0000,Zone [PGND] on F.Cu
25,1.0000,1.0000,Zone [PGND] on F.Cu,1.0000,1.0000,Zone [PGND] on F.Cu
26,1.0000,1.0000,Zone [PGND] on F.Cu,1.0000,1.0000,Zone [PGND] on F.Cu
27,1.0000,1.0000,Zone [PGND] on F.Cu,1.0000,1.0000,Zone [PGND] on F.Cu
28,14.5000,100.5000,Via [PGND] on F.Cu - B.Cu,1.0000,1.0000,Zone [PGND] on F.Cu
